equipamentoPK,equipamentoNome,equipamentoDescricao,equipamentoCor,equipamentoTipo,equipamentoMoeda,equipamentoPreco
1,MONITOR,MONITOR LCD LG 15 polegadas,PRETO,EQUIP INFORMATICA,EUR,39.00
2,MONITOR,MONITOR LCD ITAUTEC 19 polegadas,PRETO,EQUIP INFORMATICA,BRL,180.20
3,MONITOR,MONITOR LCD AOC 17 polegadas,PRETO,EQUIP INFORMATICA,BRL,167.41
5,,LENOVO THINKCENTRE MT-M W/ INTEL CORE 2 DUO @ 2.33 GHZ 2GB RAM 160GB HD,PRETO,EQUIP INFORMATICA,BRL,2399.41
6,,ITAUTEC INFOWAY SM 3322 W/ AMD PHENOM X2 8GB 320GB HD,,,,
14,,PAUTA CONNECT BB8701A W/ MOBO ITAUTEC SM3322 AMD PHENOM X2 4GB 4HDS 320GB,PRETO,EQUIP INFORMATICA,BRL,2554.85
15,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,AZUL,MOVEIS,BRL,
16,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,,,BRL,577.16
17,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR PRETA,PRETO,MOVEIS,BRL,577.17
18,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,AZUL,MOVEIS,BRL,577.18
19,CADEIRA DE ESCRITORIO,CADEIRA DE ESCRITORIO COM RODAS REVESTIDA EM TECIDO NA COR AZUL,,,,
27,CONDICIONADOR,CONDICIONADOR DE AR GREE GWCO9MA-DINNA3C/I 9000BTUS,BRANCO,MOVEIS,BRL,1599.00
28,QUADRO-BRANCO,QUADRO-BRANCO REVESTIDO EM FORMICA COM MOLDURA DE METAL 120X90CM,BRANCO,MOVEIS,BRL,134.99
29,SUPORTE GABINETE,SUPORTE PARA GABINETE E ESTABILIZADOR REVESTIDO EM FORMICA,BRANCO,MOVEIS,BRL,139.90
30,COMPUTADOR,HP PAVILION 20 ALL-IN-ONE PC INTEL CORE I3,PRETO,EQUIP INFORMATICA,USD,350.00
31,MONITOR,,PRETO,,BRL,650.00
32,MONITOR,MONITOR HP L190HB 19 polegadas,PRETO,EQUIP INFORMATICA,BRL,650.00
33,MONITOR,MONITOR HP L190HB 19 polegadas,,EQUIP INFORMATICA,BRL,650.00
37,COMPUTADOR,DELL INSPIRON INS-3470-M40 8A GERACÃO INTEL CORE I7,PRETO,EQUIP INFORMATICA,USD,500.00
38,ROTEADOR,ROTEADOR RE057 MULTILASER,BRANCO,EQUIP INFORMATICA,BRL,90.80
39,ROTEADOR,,,EQUIP INFORMATICA,BRL,110.00
40,,CAFETEIRA BRITANIA 12 XICARAS,PRATA,,BRL,144.36
41,MICRO-ONDAS,FORNO DE MICRO-ONDAS ELECTROLUX MTO30 - 20L - BRANCO,BRANCO,ELETRODOMESTICO,,494.10
42,GELADEIRA,REFRIGERADOR ELECTROLUX DUPLEX DC35A 260L - BRANCO,BRANCO,ELETRODOMESTICO,BRL,1949.00
50,,SERRA TICO-TICO BOSCH GST 650 450W 127V,AZUL,FERRAMENTAS ELETRICAS,BRL,313.20
51,POLTRONA,POLTRONA VILLARE SOGNO RECLINAVEL REVESTIDA EM TECIDO NA COR VERMELHA,VERMELHO,MOVEIS,BRL,845.50
52,SMARTPHONE,XIAOMI MI A2 LITE 3GB RAM 32GB ARMAZENAMENTO ANDROID 9,PRETO,SMARTPHONES,USD,235.40
